# Columns : X	Y	Z	u	v
30.000000	0.000000	10.500000	142.530740	710.845399
45.000000	0.000000	10.500000	29.650041	713.222444
-90.000000	15.000000	10.500000	1045.446802	593.630105
-75.000000	15.000000	10.500000	933.816826	595.507915
-60.000000	15.000000	10.500000	820.370755	598.105461
-45.000000	15.000000	10.500000	707.808904	600.768741
-30.000000	15.000000	10.500000	594.129749	603.013031
-15.000000	15.000000	10.500000	480.285505	605.054167
0.000000	15.000000	10.500000	367.072598	607.409794
15.000000	15.000000	10.500000	253.193597	610.006083
30.000000	15.000000	10.500000	139.490793	612.472063
45.000000	15.000000	10.500000	26.294417	615.424815
-90.000000	30.000000	10.500000	1049.807958	493.831779
-75.000000	30.000000	10.500000	936.293321	496.055402
-60.000000	30.000000	10.500000	822.364905	498.394759
-45.000000	30.000000	10.500000	708.402571	501.264484
-30.000000	30.000000	10.500000	594.595305	502.652282
-15.000000	30.000000	10.500000	480.172201	505.406479
0.000000	30.000000	10.500000	366.184977	507.680489
15.000000	30.000000	10.500000	251.430478	510.290482
30.000000	30.000000	10.500000	136.993929	512.871308
45.000000	30.000000	10.500000	22.250368	514.941087
-90.000000	45.000000	10.500000	1054.636784	393.094886
-75.000000	45.000000	10.500000	940.320738	395.185258
-60.000000	45.000000	10.500000	825.827996	397.441517
-45.000000	45.000000	10.500000	709.972074	399.043067
-30.000000	45.000000	10.500000	595.956791	402.233671
-15.000000	45.000000	10.500000	480.802243	404.372156
0.000000	45.000000	10.500000	364.711384	406.842868
15.000000	45.000000	10.500000	250.147875	409.145598
30.000000	45.000000	10.500000	134.098459	411.001650
45.000000	45.000000	10.500000	18.037970	413.879672
-90.000000	60.000000	10.500000	1058.171238	289.949295
-75.000000	60.000000	10.500000	943.896003	292.341775
-60.000000	60.000000	10.500000	827.784059	293.902503
-45.000000	60.000000	10.500000	711.810261	296.129826
-30.000000	60.000000	10.500000	596.328895	299.251647
-15.000000	60.000000	10.500000	480.560655	301.400662
0.000000	60.000000	10.500000	363.745107	302.942547
15.000000	60.000000	10.500000	248.055333	306.122413
30.000000	60.000000	10.500000	130.977451	307.870133
45.000000	60.000000	10.500000	15.000202	310.652226
-90.000000	75.000000	10.500000	1063.037797	185.694812
-75.000000	75.000000	10.500000	947.018127	187.298749
-60.000000	75.000000	10.500000	830.679945	190.055669
-45.000000	75.000000	10.500000	713.878617	191.884369
-30.000000	75.000000	10.500000	597.156062	194.222893
-15.000000	75.000000	10.500000	479.906467	196.357934
0.000000	75.000000	10.500000	363.289449	198.290894
15.000000	75.000000	10.500000	245.506050	200.962327
30.000000	75.000000	10.500000	128.601669	203.554771
45.000000	75.000000	10.500000	11.071548	205.338429
-90.000000	90.000000	10.500000	1067.617604	79.173640
-75.000000	90.000000	10.500000	950.208389	81.610581
-60.000000	90.000000	10.500000	833.125823	84.214078
-45.000000	90.000000	10.500000	716.118639	86.017302
-30.000000	90.000000	10.500000	597.933700	88.128293
-15.000000	90.000000	10.500000	479.888798	90.637508
0.000000	90.000000	10.500000	362.264679	92.833898
15.000000	90.000000	10.500000	243.648280	95.033635
30.000000	90.000000	10.500000	124.881407	96.743192
45.000000	90.000000	10.500000	6.830727	99.233183
-82.500000	-82.500000	12.000000	966.826543	1211.985097
-67.500000	-82.500000	12.000000	859.686174	1214.548864
-52.500000	-82.500000	12.000000	752.367458	1217.954140
-37.500000	-82.500000	12.000000	644.296204	1220.719176
-22.500000	-82.500000	12.000000	535.787059	1222.668085
-7.500000	-82.500000	12.000000	427.788635	1225.441928
7.500000	-82.500000	12.000000	319.478609	1228.470180
22.500000	-82.500000	12.000000	211.330260	1230.730645
37.500000	-82.500000	12.000000	102.355392	1234.018370
-82.500000	-67.500000	12.000000	970.294813	1122.220432
-67.500000	-67.500000	12.000000	862.084208	1124.097029
-52.500000	-67.500000	12.000000	754.146264	1127.281617
-37.500000	-67.500000	12.000000	645.244271	1129.450077
-22.500000	-67.500000	12.000000	535.706882	1132.248142
-7.500000	-67.500000	12.000000	427.101301	1135.144653
